Etapa,Total de itens,Itens pendentes,Itens a validar,Itens não informados,Observações
estrutura,,,,,Resumo automático com base na aba QUANTITATIVOS.
alvenaria,,,,,Resumo automático com base na aba QUANTITATIVOS.
revestimentos,,,,,Resumo automático com base na aba QUANTITATIVOS.
elétrica,,,,,Resumo automático com base na aba QUANTITATIVOS.
hidrossanitário,,,,,Resumo automático com base na aba QUANTITATIVOS.
acabamentos,,,,,Resumo automático com base na aba QUANTITATIVOS.
outros,,,,,Resumo automático com base na aba QUANTITATIVOS.
